"var_star","estimate","se","df","t value","pval","conf.low","conf.high","effect","model","model_term_number"
"(Intercept)",0.000261599819137048,0.0343565936044445,477.594312523078,0.00761425367569639,0.993927942666488,-0.0670760862770532,0.0675992859153273,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.1"
"Menses",-0.0364865476748764,0.015537145092457,11712.6066541148,-2.34834311308517,0.0188736777698624,-0.0669387924786654,-0.00603430287108743,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.2"
"Menses * Study * Partner Sexual Attract.",-0.0414490882783712,0.0156513126875732,11693.2926469715,-2.64828191128537,0.00810106498329079,-0.0721250974567894,-0.0107730790999531,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.3"
"Partner Sexual Attract.",-0.146842011164631,0.0352160048149315,473.288168322581,-4.16975213220013,0.000036272380126266,-0.215864112281286,-0.077819910047976,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.4"
"Probability of Conception (mean)",0.0115515766568242,0.0320285290411996,484.420692812018,0.360665225741866,0.718506940274773,-0.0512231867417223,0.0743263400553706,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.5"
"Probability of Conception (mean) * Partner Sexual Attract.",0.0296314318081173,0.0346177953964304,483.158350084907,0.855959528005435,0.392444455748516,-0.0382182003930628,0.0974810640092975,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.6"
"Probability of Conception (mean) * Self Sexual Attract.",-0.033030206864553,0.0364856440830247,480.096002720283,-0.905293237783916,0.365764137494868,-0.104540755220028,0.0384803414909223,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.7"
"Probability of Conception (WW)",0.0612127991283345,0.0104686739378,447.10516333938,5.84723523648101,0.00000000965580899570341,0.0406945752443534,0.0817310230123155,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.8"
"Probability of Conception (WW) * Partner Sexual Attract.",-0.0392991259640381,0.0105091397763932,424.64120238427,-3.73951881887765,0.000209652755063277,-0.0598966614342662,-0.0187015904938101,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.9"
"Probability of Conception (WW) * Self Sexual Attract.",0.0189386816550526,0.0110885882870039,423.341466977489,1.70794344283205,0.0883799312233022,-0.00279455202686776,0.040671915336973,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.10"
"Self Sexual Attract.",0.0871944197666269,0.0372011567589113,472.032705130702,2.34386313123826,0.0194990687685331,0.0142814923359321,0.160107347197322,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.11"
"Study",0.0187650279569346,0.0341978774028316,472.090450101574,0.548719083816028,0.583457654992411,-0.0482615801003314,0.0857916360142006,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.12"
"Study * Partner Sexual Attract.",0.0286140599917784,0.0352452006325439,478.700315848865,0.811856918906496,0.41727724667489,-0.040465263875896,0.0976933838594528,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.13"
"Study * Probability of Conception (mean)",-0.00679479065010637,0.0314995321411077,484.858900432895,-0.215710843566435,0.829303861072766,-0.0685327391765393,0.0549431578763265,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.14"
"Study * Probability of Conception (mean) * Partner Sexual Attract.",-0.0507329055368032,0.0338680135661998,483.830811656414,-1.49795928945282,0.134795935009202,-0.117112992354469,0.0156471812808625,"fixed","EP_PRCPSMSy","EP_PRCPSMSy.15"
