model,variable,moderator_value,slope,SE,df,lower_ci,upper_ci,p.value
EP_PRCPSMSy,Zprc_stirn_ww,-1,0.10043170539250586,0.014933084818583622,480.25050437295437,0.07108944960987981,0.1297739611751319,4.987888345511282e-11
EP_PRCPSMSy,Zprc_stirn_ww,0,0.061408221050949646,0.010483912680281019,492.27784785557986,0.04080948580931851,0.08200695629258078,8.608270974531518e-9
EP_PRCPSMSy,Zprc_stirn_ww,1,0.022384736709393435,0.014783544301851992,480.13215470615495,-0.0066637026241659035,0.05143317604295278,0.13064178995782966
EP_HPSMSy,Zprog_ww,-1,-0.12665865675934362,0.01803623372847116,469.571420635862,-0.1621003755193998,-0.09121693799928746,7.68690815551527e-12
EP_HPSMSy,Zprog_ww,0,-0.07658861084902967,0.012604677025696218,472.285087700614,-0.1013567965062701,-0.05182042519178924,2.5363278978657237e-9
EP_HPSMSy,Zprog_ww,1,-0.026518564938715704,0.017902406086892152,470.79841296074414,-0.06169707162056618,0.008659941743134773,0.1391995954404845
EP_HPSMSy,Zestr_ww,-1,0.07647326886951843,0.018832780679904872,584.0843582119709,0.03948505121043427,0.11346148652860258,5.561171478743895e-5
EP_HPSMSy,Zestr_ww,0,0.046784423299321615,0.01312932160234467,583.2901682514022,0.0209979190994002,0.07257092749924303,3.9609631931908384e-4
EP_HPSMSy,Zestr_ww,1,0.01709557772912481,0.01873402822831708,594.5217134279603,-0.019697345567367283,0.0538885010256169,0.3618536331466268
EP_PRCPSM,Zprc_stirn_ww,-1,0.10099636681094887,0.014751995238412275,479.42649340557995,0.07200981095632211,0.12998292266557562,2.3280797182276076e-11
EP_PRCPSM,Zprc_stirn_ww,0,0.06243134910696092,0.010394077560053944,494.0034706042727,0.04200929723982473,0.08285340097409712,3.680686444313874e-9
EP_PRCPSM,Zprc_stirn_ww,1,0.023866331402972972,0.014716931022164509,484.06995120387273,-0.0050506239135574595,0.0527832867195034,0.10552039640593375
EP_HPSM,Zprog_ww,-1,-0.12637664718611843,0.017792622451309047,468.8103063519705,-0.16133980944590207,-0.0914134849263348,4.56759647106392e-12
EP_HPSM,Zprog_ww,0,-0.07700793800379513,0.012477600325130258,473.7569740237221,-0.10152622228974116,-0.0524896537178491,1.4520751997116158e-9
EP_HPSM,Zprog_ww,1,-0.027639228821471826,0.017788909398910098,474.5562602367184,-0.0625939993704576,0.00731554172751395,0.12091455974394952
EP_HPSM,Zestr_ww,-1,0.07955719621990939,0.01867217006922558,586.0996700341886,0.04288468505864671,0.11622970738117208,2.3736788055953418e-5
EP_HPSM,Zestr_ww,0,0.049596381523528923,0.013059229849356742,587.083109425341,0.023947884824745306,0.07524487822231254,1.6118081014662304e-4
EP_HPSM,Zestr_ww,1,0.019635566827148454,0.018695816122498706,599.5885071510243,-0.017081676412738292,0.0563528100670352,0.2940192775158093
EP_PRCPSSy,Zprc_stirn_ww,-1,0.10038387887368448,0.014931869980851501,480.20535565634617,0.07104400317585047,0.1297237545715185,5.072186041666218e-11
EP_PRCPSSy,Zprc_stirn_ww,0,0.061287856724918224,0.010482909834812459,492.27447907567785,0.0406910915212923,0.08188462192854415,9.153463793054015e-9
EP_PRCPSSy,Zprc_stirn_ww,1,0.022191834576151964,0.014783036536418409,480.14013344605206,-0.006855605820618189,0.05123927497292212,0.13396919447039857
EP_HPSSy,Zprog_ww,-1,-0.12592868466250146,0.018039349084840253,469.0717338220264,-0.16137662276398596,-0.09048074656101694,1.0075913571175373e-11
EP_HPSSy,Zprog_ww,0,-0.07667335018867316,0.012609516196425087,472.27760642678,-0.10145104582297548,-0.05189565455437085,2.4728074423537615e-9
EP_HPSSy,Zprog_ww,1,-0.027418015714844854,0.017903056382698023,470.0813301445578,-0.0625979385470569,0.007761907117367198,0.12632563745299438
EP_HPSSy,Zestr_ww,-1,0.0848041850863389,0.01833409643383286,525.347612976272,0.04878703871513097,0.12082133145754682,4.7115987403647985e-6
EP_HPSSy,Zestr_ww,0,0.046537863409927605,0.013132770453957712,583.1257520895183,0.0207445704083843,0.0723311564114709,4.2624492541476033e-4
EP_HPSSy,Zestr_ww,1,0.00827154173351631,0.01818839985758991,529.2325334785586,-0.02745877956115842,0.04400186302819104,0.6494610723562837
EP_PRCPS,Zprc_stirn_ww,-1,0.1009764821124065,0.014747021304317473,479.37154199030584,0.07199969125600915,0.12995327296880382,2.3141680177356953e-11
EP_PRCPS,Zprc_stirn_ww,0,0.06234186002455415,0.010390449977220875,493.9964906132679,0.04192693484287342,0.08275678520623488,3.821036270022837e-9
EP_PRCPS,Zprc_stirn_ww,1,0.02370723793670181,0.01471240007303082,484.0773870717201,-0.00520081351031423,0.052615289383717845,0.10774914295285981
EP_HPS,Zprog_ww,-1,-0.12638162363026012,0.01779509484946573,468.7402967966065,-0.16134965776155993,-0.09141358949896031,4.58959642111204e-12
EP_HPS,Zprog_ww,0,-0.0769910224342312,0.012479387863286997,473.73484173941904,-0.10151282213805406,-0.05246922273040834,1.471287268241859e-9
EP_HPS,Zprog_ww,1,-0.027600421238202277,0.017792015581887494,474.588647251469,-0.06256128926047894,0.0073604467840743745,0.12150085213839559
EP_HPS,Zestr_ww,-1,0.07958996291951516,0.01867094998175802,585.9546707217531,0.04291982925720445,0.11626009658182587,2.3529078699134392e-5
EP_HPS,Zestr_ww,0,0.049579221299586175,0.013058707982347411,586.9885984018678,0.02393174102379056,0.07522670157538179,1.6192230231009818e-4
EP_HPS,Zestr_ww,1,0.01956847967965719,0.0186960817294398,599.5652688345873,-0.017149288071648575,0.05628624743096296,0.29567722266095
EP_PRCPMSy,Zprc_stirn_ww,-1,0.09550419588143337,0.01480291080027951,484.0966488280644,0.06641830492004634,0.1245900868428204,2.685958702482152e-10
EP_PRCPMSy,Zprc_stirn_ww,0,0.0618108788823641,0.010512002744525314,493.8206760751819,0.04115711146561128,0.08246464629911691,7.562718273157087e-9
EP_PRCPMSy,Zprc_stirn_ww,1,0.02811756188329482,0.014607801371597852,481.2533702322054,-5.853881699897333e-4,0.056820511936579374,0.05483951876381633
EP_HPMSy,Zprog_ww,-1,-0.12123117024854388,0.017838260422150733,473.3161660501869,-0.15628314915594,-0.08617919134114777,3.243167817273352e-11
EP_HPMSy,Zprog_ww,0,-0.07688151978751949,0.012618981291073665,474.08876469961564,-0.10167757095679837,-0.05208546861824061,2.3016124900214132e-9
EP_HPMSy,Zprog_ww,1,-0.03253186932649512,0.017659029315184295,472.0474045870285,-0.06723190023651114,0.0021681615835209,0.06606954319665782
EP_HPMSy,Zestr_ww,-1,0.07051796115620847,0.018651321243444263,589.1986012445036,0.03388679616935073,0.10714912614306621,1.722174186157973e-4
